cell_line,phase,time_point,old_centroids,new_centroids
mutant,Maintenance,20,10,3
mutant,Maintenance,30,4,1
mutant,Maintenance,30,35,3
mutant,Maintenance,30,45,8
mutant,Maintenance,30,10,3
mutant,Maintenance,30,18,0
mutant,Maintenance,30,10,3
mutant,Maintenance,30,4,0
mutant,Maintenance,30,1,1
mutant,Maintenance,30,21,2
mutant,Maintenance,30,8,0
mutant,Maintenance,30,6,0
mutant,Maintenance,30,5,1
mutant,Maintenance,30,5,0
mutant,Maintenance,30,39,0
mutant,Maintenance,30,12,0
mutant,Maintenance,40,29,9
mutant,Maintenance,40,30,3
mutant,Maintenance,40,49,4
mutant,Maintenance,40,79,3
mutant,Maintenance,40,83,0
mutant,Maintenance,40,34,0
mutant,Maintenance,40,21,1
mutant,Maintenance,40,22,2
mutant,Maintenance,40,64,3
mutant,Maintenance,40,134,38
mutant,Maintenance,40,72,12
mutant,Maintenance,40,95,10
mutant,Maintenance,40,7,2
mutant,Maintenance,40,27,0
mutant,Maintenance,40,11,3
mutant,Maintenance,40,21,0
mutant,Maintenance,40,37,2
mutant,Maintenance,40,176,0
mutant,Maintenance,40,40,9
mutant,Maintenance,40,8,0
mutant,Maintenance,40,68,10
mutant,Maintenance,50,19,1
mutant,Maintenance,50,81,13
mutant,Maintenance,50,29,0
mutant,Maintenance,50,3,0
mutant,Maintenance,50,75,2
mutant,Maintenance,50,97,23
mutant,Maintenance,50,44,12
mutant,Maintenance,50,16,2
mutant,Maintenance,50,55,13
mutant,Maintenance,50,9,1
mutant,Maintenance,50,72,0
mutant,Maintenance,50,68,20
mutant,Maintenance,50,7,2
mutant,Maintenance,50,40,5
mutant,Maintenance,50,28,0
mutant,Maintenance,50,37,0
mutant,Maintenance,50,93,0
mutant,Maintenance,50,41,2
mutant,Maintenance,50,45,0
mutant,Maintenance,50,44,5
mutant,Maintenance,50,39,4
mutant,Maintenance,50,40,8
mutant,Maintenance,50,41,8
mutant,Maintenance,60,82,32
mutant,Maintenance,60,11,2
mutant,Maintenance,60,44,0
mutant,Maintenance,60,18,8
mutant,Maintenance,60,23,8
mutant,Maintenance,60,95,27
mutant,Maintenance,60,74,1
mutant,Maintenance,60,43,1
mutant,Maintenance,60,35,0
mutant,Maintenance,60,40,6
mutant,Maintenance,60,47,17
mutant,Maintenance,60,88,5
mutant,Maintenance,60,264,2
mutant,Maintenance,60,81,25
mutant,Maintenance,60,48,8
mutant,Maintenance,60,84,22
mutant,Maintenance,60,2,1
mutant,Maintenance,60,272,44
