cell_line,phase,time_point,old_centroids,new_centroids
wild_type,Initiation,80,43,58
wild_type,Initiation,80,42,40
wild_type,Initiation,80,81,101
wild_type,Initiation,80,134,93
wild_type,Initiation,80,78,72
wild_type,Initiation,80,75,76
wild_type,Initiation,80,38,43
wild_type,Initiation,80,21,16
wild_type,Initiation,80,33,37
wild_type,Initiation,80,97,116
wild_type,Initiation,80,54,72
wild_type,Initiation,80,49,65
wild_type,Initiation,100,41,127
wild_type,Initiation,100,26,90
wild_type,Initiation,100,5,20
wild_type,Initiation,100,23,64
wild_type,Initiation,100,22,88
wild_type,Initiation,100,40,111
wild_type,Initiation,100,11,40
wild_type,Initiation,100,51,164
wild_type,Initiation,100,57,147
wild_type,Initiation,100,27,66
wild_type,Initiation,100,26,92
wild_type,Initiation,100,37,89
wild_type,Initiation,100,18,50
wild_type,Initiation,100,28,77
wild_type,Initiation,100,21,85
wild_type,Initiation,100,3,12
wild_type,Initiation,100,17,55
wild_type,Initiation,100,35,102
wild_type,Initiation,100,38,103
wild_type,Initiation,100,1,3
wild_type,Initiation,100,3,9
wild_type,Initiation,100,3,13
wild_type,Initiation,100,12,39
wild_type,Initiation,100,15,58
wild_type,Initiation,100,18,62
wild_type,Initiation,100,7,23
wild_type,Initiation,120,0,6
wild_type,Initiation,120,9,74
wild_type,Initiation,120,1,20
wild_type,Initiation,120,1,8
wild_type,Initiation,120,3,30
wild_type,Initiation,120,1,11
wild_type,Initiation,120,0,10
wild_type,Initiation,120,2,23
wild_type,Initiation,120,6,65
wild_type,Initiation,120,13,113
wild_type,Initiation,120,2,27
wild_type,Initiation,120,2,23
wild_type,Initiation,120,3,30
wild_type,Initiation,120,3,31
wild_type,Initiation,120,3,38
wild_type,Initiation,120,3,39
wild_type,Initiation,120,1,13
wild_type,Initiation,120,1,20
wild_type,Initiation,120,7,65
wild_type,Initiation,120,7,57
wild_type,Initiation,120,2,32
wild_type,Initiation,120,7,72
wild_type,Initiation,120,5,51
wild_type,Initiation,120,14,110
wild_type,Initiation,120,9,68
wild_type,Initiation,120,14,112
wild_type,Initiation,140,0,133
wild_type,Initiation,140,0,87
wild_type,Initiation,140,0,53
wild_type,Initiation,140,0,120
wild_type,Initiation,140,0,181
wild_type,Initiation,140,0,38
wild_type,Initiation,140,0,82
wild_type,Initiation,140,0,51
wild_type,Initiation,140,0,86
wild_type,Initiation,140,0,63
wild_type,Initiation,140,0,71
wild_type,Initiation,140,0,33
wild_type,Initiation,140,0,12
wild_type,Initiation,140,0,30
wild_type,Initiation,140,0,51
wild_type,Initiation,140,0,49
wild_type,Initiation,140,0,11
wild_type,Initiation,140,0,6
wild_type,Initiation,140,0,88
wild_type,Initiation,140,0,34
wild_type,Initiation,140,0,40
wild_type,Initiation,140,0,27
wild_type,Initiation,140,0,64
wild_type,Initiation,140,0,24
wild_type,Initiation,140,0,14
wild_type,Initiation,140,0,25
wild_type,Initiation,160,0,29
wild_type,Initiation,160,0,28
wild_type,Initiation,160,0,4
wild_type,Initiation,160,0,4
wild_type,Initiation,160,0,26
wild_type,Initiation,160,0,89
wild_type,Initiation,160,0,202
wild_type,Initiation,160,0,56
wild_type,Initiation,160,0,262
wild_type,Initiation,160,0,33
wild_type,Initiation,160,0,56
wild_type,Initiation,160,0,38
wild_type,Initiation,160,0,337
wild_type,Initiation,160,0,111
wild_type,Initiation,160,0,244
wild_type,Initiation,160,0,160
wild_type,Initiation,160,0,522
wild_type,Initiation,160,0,86
wild_type,Initiation,160,0,63
wild_type,Initiation,160,0,331
wild_type,Initiation,160,0,137
wild_type,Initiation,160,0,457
wild_type,Initiation,160,0,145
wild_type,Initiation,160,0,60
wild_type,Initiation,160,0,174
wild_type,Initiation,160,0,61
wild_type,Initiation,60,19,16
wild_type,Initiation,60,145,72
wild_type,Initiation,60,40,19
wild_type,Maintenance,10,17,4
wild_type,Maintenance,10,27,4
wild_type,Maintenance,10,15,0
wild_type,Maintenance,10,38,0
wild_type,Maintenance,10,13,3
wild_type,Maintenance,10,55,13
wild_type,Maintenance,10,103,0
wild_type,Maintenance,10,35,10
wild_type,Maintenance,10,271,80
wild_type,Maintenance,10,41,0
wild_type,Maintenance,10,49,15
wild_type,Maintenance,10,28,4
wild_type,Maintenance,10,65,0
wild_type,Maintenance,10,90,1
wild_type,Maintenance,10,91,14
wild_type,Maintenance,10,76,0
wild_type,Maintenance,10,144,0
wild_type,Maintenance,10,118,17
wild_type,Maintenance,10,18,2
wild_type,Maintenance,10,59,0
wild_type,Maintenance,10,82,0
wild_type,Maintenance,10,74,0
wild_type,Maintenance,10,76,0
wild_type,Maintenance,10,12,2
wild_type,Maintenance,10,45,12
wild_type,Maintenance,10,82,4
wild_type,Maintenance,10,124,23
wild_type,Maintenance,10,77,5
wild_type,Maintenance,10,72,9
wild_type,Maintenance,20,107,0
wild_type,Maintenance,20,79,14
wild_type,Maintenance,20,24,6
wild_type,Maintenance,20,91,6
wild_type,Maintenance,20,38,12
wild_type,Maintenance,20,29,0
wild_type,Maintenance,20,31,4
wild_type,Maintenance,20,28,8
wild_type,Maintenance,20,28,2
wild_type,Maintenance,20,40,0
wild_type,Maintenance,20,364,15
wild_type,Maintenance,20,26,4
wild_type,Maintenance,20,81,17
wild_type,Maintenance,20,23,0
wild_type,Maintenance,20,43,13
wild_type,Maintenance,20,22,7
wild_type,Maintenance,20,39,0
wild_type,Maintenance,20,163,34
wild_type,Maintenance,20,89,16
wild_type,Maintenance,20,31,0
wild_type,Maintenance,20,56,16
wild_type,Maintenance,20,18,7
wild_type,Maintenance,20,79,13
wild_type,Maintenance,20,246,30
wild_type,Maintenance,20,40,6
wild_type,Maintenance,20,23,5
wild_type,Maintenance,20,134,0
wild_type,Maintenance,20,95,13
wild_type,Maintenance,20,54,6
wild_type,Maintenance,30,195,0
wild_type,Maintenance,30,256,16
wild_type,Maintenance,30,81,28
wild_type,Maintenance,30,65,18
wild_type,Maintenance,30,60,0
wild_type,Maintenance,30,24,4
wild_type,Maintenance,30,91,6
wild_type,Maintenance,30,146,35
wild_type,Maintenance,30,38,3
wild_type,Maintenance,30,29,5
wild_type,Maintenance,30,85,1
wild_type,Maintenance,30,32,12
wild_type,Maintenance,30,59,18
wild_type,Maintenance,30,186,76
wild_type,Maintenance,30,65,22
wild_type,Maintenance,30,90,0
wild_type,Maintenance,30,30,9
wild_type,Maintenance,30,293,24
wild_type,Maintenance,30,143,9
wild_type,Maintenance,30,171,69
wild_type,Maintenance,30,57,19
wild_type,Maintenance,30,26,8
wild_type,Maintenance,30,278,112
wild_type,Maintenance,30,28,12
wild_type,Maintenance,30,37,0
wild_type,Maintenance,30,43,0
wild_type,Maintenance,30,35,14
wild_type,Maintenance,30,83,2
wild_type,Maintenance,30,96,14
wild_type,Maintenance,40,127,39
wild_type,Maintenance,40,31,9
wild_type,Maintenance,40,142,22
wild_type,Maintenance,40,21,12
wild_type,Maintenance,40,18,7
wild_type,Maintenance,40,0,0
wild_type,Maintenance,40,45,16
wild_type,Maintenance,40,48,6
wild_type,Maintenance,40,21,10
wild_type,Maintenance,40,11,4
wild_type,Maintenance,40,64,25
wild_type,Maintenance,40,28,13
wild_type,Maintenance,40,54,4
wild_type,Maintenance,40,51,18
wild_type,Maintenance,40,26,8
wild_type,Maintenance,40,12,7
wild_type,Maintenance,40,59,14
wild_type,Maintenance,40,31,6
wild_type,Maintenance,40,58,12
wild_type,Maintenance,40,12,5
wild_type,Maintenance,40,14,2
wild_type,Maintenance,40,105,20
wild_type,Maintenance,40,30,12
wild_type,Maintenance,40,56,18
wild_type,Maintenance,40,87,39
wild_type,Maintenance,40,82,8
wild_type,Maintenance,40,177,11
wild_type,Maintenance,40,175,39
wild_type,Maintenance,40,34,12
wild_type,Maintenance,50,92,11
wild_type,Maintenance,50,14,8
wild_type,Maintenance,50,15,5
wild_type,Maintenance,50,44,26
wild_type,Maintenance,50,92,32
wild_type,Maintenance,50,130,77
wild_type,Maintenance,50,83,46
wild_type,Maintenance,50,138,64
wild_type,Maintenance,50,46,14
wild_type,Maintenance,50,274,61
wild_type,Maintenance,50,118,64
wild_type,Maintenance,50,124,21
wild_type,Maintenance,50,139,33
wild_type,Maintenance,50,56,12
wild_type,Maintenance,50,190,106
wild_type,Maintenance,50,50,22
wild_type,Maintenance,50,104,26
wild_type,Maintenance,50,6,2
wild_type,Maintenance,50,5,3
wild_type,Maintenance,50,8,4
wild_type,Maintenance,50,8,5
wild_type,Maintenance,50,16,8
wild_type,Maintenance,50,5,1
wild_type,Maintenance,50,10,2
wild_type,Maintenance,50,9,2
wild_type,Maintenance,50,9,5
wild_type,Maintenance,50,2,2
wild_type,Maintenance,50,9,2
wild_type,Maintenance,50,7,3
wild_type,Maintenance,60,8,6
wild_type,Maintenance,60,6,7
wild_type,Maintenance,60,3,3
wild_type,Maintenance,60,3,3
wild_type,Maintenance,60,17,15
wild_type,Maintenance,60,23,13
wild_type,Maintenance,60,7,7
wild_type,Maintenance,60,24,12
wild_type,Maintenance,60,33,33
wild_type,Maintenance,60,67,32
wild_type,Maintenance,60,66,48
wild_type,Maintenance,60,48,26
wild_type,Maintenance,60,33,20
wild_type,Maintenance,60,15,11
wild_type,Maintenance,60,15,10
wild_type,Maintenance,60,70,76
wild_type,Maintenance,60,2,3
wild_type,Maintenance,60,58,32
wild_type,Maintenance,60,27,24
wild_type,Maintenance,60,34,17
wild_type,Maintenance,60,3,3
wild_type,Maintenance,60,56,32
wild_type,Maintenance,60,70,30
wild_type,Maintenance,60,16,16
wild_type,Maintenance,60,17,17
wild_type,Maintenance,60,25,14
wild_type,Maintenance,60,212,153
wild_type,Maintenance,60,61,29
wild_type,Maintenance,60,41,17
wild_type,Maintenance,10,38,11
wild_type,Maintenance,10,28,2
wild_type,Maintenance,60,38,13
wild_type,Maintenance,60,64,47
wild_type,Maintenance,60,56,11
wild_type,Maintenance,60,51,31
wild_type,Maintenance,60,20,16
wild_type,Maintenance,60,40,14
wild_type,Maintenance,60,26,8
wild_type,Maintenance,60,9,5
wild_type,Maintenance,60,15,8
wild_type,Maintenance,60,44,26
wild_type,Maintenance,60,9,8
wild_type,Maintenance,60,13,8
wild_type,Maintenance,60,29,19
wild_type,Maintenance,60,31,14
wild_type,Maintenance,60,53,24
wild_type,Maintenance,60,7,2
wild_type,Maintenance,60,30,17
wild_type,Maintenance,60,11,5
wild_type,Maintenance,60,6,6
wild_type,Maintenance,60,9,3
wild_type,Maintenance,60,44,22
wild_type,Maintenance,60,147,45
wild_type,Maintenance,60,24,16
wild_type,Maintenance,60,13,6
wild_type,Maintenance,60,90,27
wild_type,Maintenance,60,13,11
wild_type,Maintenance,60,33,9
wild_type,Maintenance,60,16,9
wild_type,Maintenance,60,23,13
wild_type,Maintenance,120,6,60
wild_type,Maintenance,120,4,56
wild_type,Maintenance,120,0,6
wild_type,Maintenance,120,3,34
wild_type,Maintenance,120,3,24
wild_type,Maintenance,120,4,56
wild_type,Maintenance,120,14,108
wild_type,Maintenance,120,2,24
wild_type,Maintenance,120,5,40
wild_type,Maintenance,120,22,187
wild_type,Maintenance,120,5,47
wild_type,Maintenance,120,26,209
wild_type,Maintenance,120,7,91
wild_type,Maintenance,120,29,240
wild_type,Maintenance,120,16,163
wild_type,Maintenance,120,25,198
wild_type,Maintenance,120,22,200
wild_type,Maintenance,120,13,137
wild_type,Maintenance,120,1,15
wild_type,Maintenance,120,5,63
wild_type,Maintenance,120,8,65
wild_type,Maintenance,120,8,81
wild_type,Maintenance,120,15,124
wild_type,Maintenance,120,23,177
wild_type,Maintenance,120,10,116
wild_type,Maintenance,120,15,117
wild_type,Maintenance,120,5,43
wild_type,Maintenance,120,14,135
wild_type,Maintenance,120,36,359
wild_type,Maintenance,180,0,283
wild_type,Maintenance,180,0,109
wild_type,Maintenance,180,0,133
wild_type,Maintenance,180,0,89
wild_type,Maintenance,180,0,96
wild_type,Maintenance,180,0,23
wild_type,Maintenance,180,0,38
wild_type,Maintenance,180,0,29
wild_type,Maintenance,180,0,4
wild_type,Maintenance,180,0,2
wild_type,Maintenance,180,0,31
wild_type,Maintenance,180,0,39
wild_type,Maintenance,180,0,42
wild_type,Maintenance,180,0,46
wild_type,Maintenance,180,0,51
wild_type,Maintenance,180,0,48
wild_type,Maintenance,180,0,9
wild_type,Maintenance,180,0,97
wild_type,Maintenance,180,0,10
wild_type,Maintenance,180,0,20
wild_type,Maintenance,180,0,18
wild_type,Maintenance,180,0,24
wild_type,Maintenance,180,0,35
wild_type,Maintenance,180,0,75
wild_type,Maintenance,180,0,7
wild_type,Maintenance,180,0,31
wild_type,Maintenance,180,0,92
wild_type,Maintenance,180,0,76
wild_type,Maintenance,180,0,35
wild_type,Maintenance,200,0,25
wild_type,Maintenance,200,0,61
wild_type,Maintenance,200,0,23
wild_type,Maintenance,200,0,59
wild_type,Maintenance,200,0,23
wild_type,Maintenance,200,0,24
wild_type,Maintenance,200,0,27
wild_type,Maintenance,200,0,15
wild_type,Maintenance,200,0,26
wild_type,Maintenance,200,0,42
wild_type,Maintenance,200,0,12
wild_type,Maintenance,200,0,33
wild_type,Maintenance,200,0,42
wild_type,Maintenance,200,0,12
wild_type,Maintenance,200,0,25
wild_type,Maintenance,200,0,62
wild_type,Maintenance,200,0,32
wild_type,Maintenance,200,0,47
wild_type,Maintenance,200,0,19
wild_type,Maintenance,200,0,65
wild_type,Maintenance,200,0,143
wild_type,Maintenance,200,0,139
wild_type,Maintenance,200,0,181
wild_type,Maintenance,200,0,40
wild_type,Maintenance,200,0,81
wild_type,Maintenance,200,0,229
wild_type,Maintenance,200,0,154
wild_type,Maintenance,200,0,39
wild_type,Maintenance,200,0,116
wild_type,Maintenance,220,0,195
wild_type,Maintenance,220,0,98
wild_type,Maintenance,220,0,194
wild_type,Maintenance,220,0,263
wild_type,Maintenance,220,0,22
wild_type,Maintenance,220,0,95
wild_type,Maintenance,220,0,56
wild_type,Maintenance,220,0,102
wild_type,Maintenance,220,0,78
wild_type,Maintenance,220,0,93
wild_type,Maintenance,220,0,77
wild_type,Maintenance,220,0,175
wild_type,Maintenance,220,0,59
wild_type,Maintenance,220,0,115
wild_type,Maintenance,220,0,59
wild_type,Maintenance,220,0,113
wild_type,Maintenance,220,0,51
wild_type,Maintenance,220,0,61
wild_type,Maintenance,220,0,32
wild_type,Maintenance,220,0,74
wild_type,Maintenance,220,0,33
wild_type,Maintenance,220,0,75
wild_type,Maintenance,220,0,115
wild_type,Maintenance,220,0,13
wild_type,Maintenance,220,0,31
wild_type,Maintenance,220,0,212
wild_type,Maintenance,220,0,97
wild_type,Maintenance,220,0,139
wild_type,Maintenance,220,0,261
wild_type,Maintenance,60,14,4
wild_type,Maintenance,60,52,26
wild_type,Maintenance,60,37,14
wild_type,Maintenance,60,73,21
wild_type,Maintenance,60,88,22
wild_type,Maintenance,60,80,40
wild_type,Maintenance,60,26,20
wild_type,Maintenance,60,138,50
wild_type,Maintenance,60,19,6
wild_type,Maintenance,60,25,19
wild_type,Maintenance,60,19,11
wild_type,Maintenance,60,18,7
wild_type,Maintenance,60,30,9
wild_type,Maintenance,60,23,6
wild_type,Maintenance,60,40,19
wild_type,Maintenance,60,28,12
wild_type,Maintenance,60,6,2
wild_type,Maintenance,60,101,26
wild_type,Maintenance,60,28,7
wild_type,Maintenance,60,29,23
wild_type,Maintenance,60,16,7
wild_type,Maintenance,60,22,12
wild_type,Maintenance,60,57,15
wild_type,Maintenance,60,29,8
wild_type,Maintenance,60,19,14
wild_type,Maintenance,60,14,5
wild_type,Maintenance,60,5,4
wild_type,Maintenance,60,8,7
wild_type,Maintenance,60,23,5
wild_type,Maintenance,120,0,10
wild_type,Maintenance,120,2,17
